Département,Année,Taux de chômage
Morbihan,2018,7.88
Morbihan,2019,7.28
Morbihan,2020,6.92
Morbihan,2021,6.52
Morbihan,2022,5.78
Morbihan,2023,5.73
Moselle,2016,10.12
Moselle,2017,9.55
Moselle,2018,8.82
Moselle,2019,8.22
Moselle,2020,7.82
Moselle,2021,7.85
Moselle,2022,7.18
Moselle,2023,7.1
Nièvre,2016,9.35
Nièvre,2017,8.4
Nièvre,2018,7.72
Nièvre,2019,7.3
Nièvre,2020,6.78
Nièvre,2021,6.65
Nièvre,2022,6.65
Nièvre,2023,6.67
Nord,2016,12.6
Nord,2017,12.15
Nord,2018,11.9
Nord,2019,10.95
Nord,2020,10.0
Nord,2021,9.78
Nord,2022,9.25
Nord,2023,9.57
Oise,2016,9.95
Oise,2017,9.4
Oise,2018,8.95
Oise,2019,8.3
Oise,2020,8.07
Oise,2021,7.8
Oise,2022,7.38
Oise,2023,7.37
Orne,2016,9.3
Orne,2017,8.62
Orne,2018,8.28
Orne,2019,7.8
Orne,2020,7.45
Orne,2021,7.12
Orne,2022,6.57
Orne,2023,6.4
Paris,2016,7.85
Paris,2017,7.38
Paris,2018,7.0
Paris,2019,6.52
Paris,2020,6.5
Paris,2021,6.5
Paris,2022,5.72
Paris,2023,5.6
Pas-de-Calais,2016,12.42
Pas-de-Calais,2017,11.5
Pas-de-Calais,2018,11.08
Pas-de-Calais,2019,10.25
Pas-de-Calais,2020,9.43
Pas-de-Calais,2021,8.92
Pas-de-Calais,2022,8.25
Pas-de-Calais,2023,8.47
Puy-de-Dôme,2016,8.75
Puy-de-Dôme,2017,8.15
Puy-de-Dôme,2018,7.78
Puy-de-Dôme,2019,7.3
Puy-de-Dôme,2020,6.95
Puy-de-Dôme,2021,6.8
Puy-de-Dôme,2022,6.3
Puy-de-Dôme,2023,6.3
Pyrénées-Atlantiques,2016,8.28
Pyrénées-Atlantiques,2017,7.8
Pyrénées-Atlantiques,2018,7.5
Pyrénées-Atlantiques,2019,6.98
Pyrénées-Atlantiques,2020,6.68
Pyrénées-Atlantiques,2021,6.35
Pyrénées-Atlantiques,2022,5.72
Pyrénées-Atlantiques,2023,5.57
Pyrénées-Orientales,2016,15.18
Pyrénées-Orientales,2017,14.32
Pyrénées-Orientales,2018,14.08
Pyrénées-Orientales,2019,13.58
Pyrénées-Orientales,2020,12.55
Pyrénées-Orientales,2021,12.25
Pyrénées-Orientales,2022,11.65
Pyrénées-Orientales,2023,11.9
Rhône,2016,9.0
Rhône,2017,8.38
Rhône,2018,8.02
Rhône,2019,7.57
Rhône,2020,7.3
Rhône,2021,7.12
Rhône,2022,6.35
Rhône,2023,6.27
Sarthe,2016,9.75
Sarthe,2017,9.0
Sarthe,2018,8.62
Sarthe,2019,8.3
Sarthe,2020,8.15
Sarthe,2021,7.72
Sarthe,2022,7.13
Sarthe,2023,6.93
Savoie,2016,7.95
Savoie,2017,7.3
Savoie,2018,6.8
Savoie,2019,6.42
Savoie,2020,6.43
Savoie,2021,6.5
Savoie,2022,5.28
Savoie,2023,5.2
Saône-et-Loire,2016,9.02
Saône-et-Loire,2017,8.3
Saône-et-Loire,2018,7.82
Saône-et-Loire,2019,7.52
Saône-et-Loire,2020,7.0
Saône-et-Loire,2021,6.58
Saône-et-Loire,2022,6.38
Saône-et-Loire,2023,6.5
Seine-Maritime,2016,11.25
Seine-Maritime,2017,10.6
Seine-Maritime,2018,10.1
Seine-Maritime,2019,9.43
Seine-Maritime,2020,9.05
Seine-Maritime,2021,8.57
Seine-Maritime,2022,7.85
Seine-Maritime,2023,7.7
Seine-Saint-Denis,2016,12.73
Seine-Saint-Denis,2017,11.98
Seine-Saint-Denis,2018,11.65
Seine-Saint-Denis,2019,10.92
Seine-Saint-Denis,2020,10.6
Seine-Saint-Denis,2021,10.9
Seine-Saint-Denis,2022,10.23
Seine-Saint-Denis,2023,10.13
Seine-et-Marne,2016,7.92
Seine-et-Marne,2017,7.5
Seine-et-Marne,2018,7.28
Seine-et-Marne,2019,6.9
Seine-et-Marne,2020,6.9
Seine-et-Marne,2021,7.2
Seine-et-Marne,2022,6.72
Seine-et-Marne,2023,6.6
Somme,2016,11.98
Somme,2017,11.25
Somme,2018,10.78
Somme,2019,10.05
Somme,2020,9.4
Somme,2021,9.12
Somme,2022,8.68
Somme,2023,8.67
Tarn,2016,10.65
Tarn,2017,10.02
Tarn,2018,9.57
